comment,cleaned_comment,predicted_sentiment
Cak Imin dan Pak Mahfud terlalu baik tdk mau mempermalukan si Bocil.. Coba kalau Cak Imin mau mempermalukan si Bocil maka Cak Imin akan nanya terkait Musyarakah dan masalah Istisna' dalam sistem ekonomi Syariah.. tanggung si Gibran akan nangis2.. pada debat berikutnya cobalah ditanya yg lebih spesifik masalah pembangunan hukum atau masalah ekonomi Syariah atau masalah2 Teknologi.. di jamin dia akan nggak bisa tidur..bisa muntah2 dia ..,dan terlalu baik tdk mau malu kalau mau malu maka akan nanya kait dan masalah dalam sistem ekonomi tanggung akan nang pada debat ikut coba tanya lebih spesifik masalah bangun hukum atau masalah ekonomi atau masalah jamin dia akan nggak bisa tidurbisa muntah dia,negative
Gibran kurang ajar 😂😂😂,kurang ajar,negative
Kemampuan Raka bikin Rocky Gerung minder atas sindiran y ke raka,bikin minder atas sindir raka,negative
"Ganjar pake pakain adat Rote.tanah kelahiran saya,tapi mohon maaf prabowo dan gibran selalu di hati.",pake pakain adat tanah lahir sayatapi mohon maaf prabowo dan gibran selalu hati,negative
"Kita perlu walpres yang milenial krna dia paham juga apa yg dibutuhkan kan anak” muda,anak sekolah. Dll

Salut ya sma mas Gibran yang berani, dan semua yg disampaikan sangat logis",perlu walpres yang milenial krna dia paham juga apa butuh kan anak mudaanak sekolah sma mas yang berani dan semua sampai sangat logis,negative
"Yg bilang blimbing sayur mana😂😂😂 keluar kau jgn sembunyi,, tunggu Gibran dilantik menjadi wapres ya❤❤",bilang blimbing sayur mana keluar kau jgn sembunyi tunggu lantik jadi wapres,negative
Nomor 3 makyos ampun cak min kurang jelas apalagi gibran  MAHFUD md  kren habis printer  hebat mana jokowidodo rakyat di jabar tak punya sertifikat  gibran sok pinter buat soal ngak jelas...iitu gibran nyonyek kepanjangan juga catatannya  ah...ih....omdo diduga tapi rakyat mau tanya jokowidodo  gaimana  USMAN dikorbankan dipecat tidak hormat malu maluin negara indonesia bangga Ganjar Mahfud md pasti menang rakyat percoyo toh ❤❤❤❤❤,makyos ampun cak min kurang jelas apalagi gibran mahfud kren habis printer hebat mana jokowidodo rakyat jabar tak punya sertifikat gibran sok pinter buat soal ngak jelasiitu gibran nyonyek panjang juga catat ahihomdo duga tapi rakyat mau tanya jokowidodo gaimana usman korban pecat tidak hormat malu maluin negara indonesia bangga pasti menang rakyat percoyo toh,negative
Tegang Amat Penyampaian'y ......Minum dulu Tong SAMSUL 😂 😂 biar ga' Keselek mulu 😂,dulu samsul biar mulu,negative
ALL IN PRABOWO !,all prabowo,negative
"Ya emang kenapa dulu aja kalian bersebrangan sama prabowo sekarang jadi koalisi,kaga ngaca!!!",emang kenapa dulu aja kalian bersebrangan sama prabowo sekarang jadi koalisikaga ngaca,negative
"Sing belagu di slepet Bae Yo pak, Ben belajar maneh, Ben akeh pengalamane Karo sing senior. Ya Allah, istighfar aku ndelok ngene. Mugo mugo pak Mahfud sama pak Imin sabar ya ngadepin anak itu.",belagu slepet pak ajar maneh akeh pengalamane sing senior istighfar aku ndelok ngene mugo pak sama pak sabar ngadepin anak itu,negative
Wkt penutup bedaya anak muda tanpa membaca. .. yg sepuh memmbaca naskah…,tutup bedaya anak muda tanpa baca sepuh memmbaca naskah,negative
"please nerf gibran, dia terlalu OP 😂
fixs prabowo gibran ❤",please nerf gibran dia terlalu fixs prabowo gibran,negative
Bagus namun crypto td sy krg stuju pak gibran...,namun crypto krg stuju pak gibran,negative
"Pasangan no.1 pinter bersilat lidah 😢, dalam arti bacotnya banyak sampe gak karuan😂, jangan sampe dah jadi terpilih, ami amit ngeri kalau no.1 terpilih hanya ada OMDO (Omong Doang) kerja kagak.",pinter silat lidah dalam arti bacot banyak sampe gak karuan jangan sampe dah jadi pilih ami amit ngeri kalau pilih hanya ada omdo kerja kagak,negative
Paslon # 2 capres nya dongok.. cawapres nya keren!,capres nya dongok cawapres nya keren,negative
Gibran bikin merinding bos diam tapi tajam 👍👍,bikin merinding bos diam tapi tajam,negative
Smoga praBowo daN gibran menang Amin,prabowo dan gibran menang,negative
"Gibran jelas terbaik,jelas semuanya",jelas terbaikjelas semua,negative
"Katanya gak tertarik sama politik.., kok nyasar Sampek kesini😂, dari duluu udah ke tebak, beginilah politik",gak tarik sama politik kok nyasar kesini dari duluu udah tebak begini politik,negative
Smoga harga rokok di turunin😂,harga rokok turunin,negative
Allin prabowo gibran ❤,prabowo gibran,negative
Saya dukung paslon 2 prabowo gibran... Kerja nyata... Dan tidak cuma omong saja....,dukung paslon prabowo gibran nyata tidak cuma omong saja,negative
Jauh lebih berbobot debat cawapres. Debat cawapres berasa debat capres. Daging semua.,lebih bobot debat cawapres cawapres asa debat capres semua,negative
Penutupan yg Apik ...tanpa TEKS...   Hanya mas broo GIBRAN ..mantaaap yg lain ...pame TEKS....,tanpa teks mas broo gibran mantaaap lain pame teks,negative
Jawqbannya yg lain kurang pas masgibran pling unggul simpel dn pasti ❤,lain kurang pas masgibran pling unggul simpel pasti,negative
Amin lagi ngelawak apa gimana sih ?,lagi ngelawak apa gimana sih,negative
Banyak yang meremehkan gibran.terutama pendukung paslon nomor 3 begitu dengkinya sama gibran.,yang remeh gibranterutama dukung paslon nomor begitu dengki sama gibran,negative
"Itu lah knp kita perlu anak muda untuk menjadi wakil, karna mereka yg paling paham masa kini",lah knp kita perlu anak muda untuk jadi wakil karna mereka paling paham masa kini,negative
Debatnya tak mengarah cuma beragrumen tentang yang tak bisa di cerna ngambang,tak arah cuma beragrumen tentang yang tak bisa cerna ngambang,negative
Saya rasa semua bisa menilai siapa yg paling berkompeten dari debat ini.,rasa semua bisa nilai siapa paling kompeten dari debat ini,negative
sayang.... di antara ke3 calon... tdk ada yg punya program pemberantasan... pejabat2 yg otaknya korengan... itu sangat berbahaya... saat menular ke generasi selanjutnya...selanjutnya...,sayang antara calon tdk ada punya program berantas jabat otak koreng itu sangat bahaya saat tular generasi selanjutnyaselanjutnya,negative
all in prabowo ❤,all prabowo,negative
Republik ini harus dipinpin oleh seorang pemimpin bukan dipinpin oleh seorang pengajar.,ini harus dipinpin oleh orang pimpin bukan dipinpin oleh orang ajar,negative
Ganjar Mahfud aja lah,aja lah,negative
Mantap pilih no 2,pilih,negative
Pkoknya hidup prabowo gibran. 💪💪💪💪,hidup prabowo gibran,negative
Kali ini nomor urut dua✌️ akan memegang peranan,ini nomor urut dua akan pegang peran,negative
Kalau beasiswa buat anak abdi negara apa dasarnya ? Harusnya berdasarkan prestasi jgn berdasar ortu. Sedangkan ortunya aja sdh dapat pensiunan terus menerus buat keluarga nya.,beasiswa buat anak abdi negara apa dasar dasar prestasi jgn dasar ortu ortunya aja sdh dapat pensiun terus terus buat keluarga nya,negative
Setau aku sepakat Pmi taiwan 90% pilih ✌🏻,aku sepakat taiwan pilih,negative
Prabowo -Gibran menuju RI 1 dan RI 2 .. All in kan gaesss,tuju dan kan gaesss,negative
"Slepet panik kena slepet sendiri. Ngeles bener 40 kot se level jakarta, level apanya neh ? Level copet nya sih bisa.",panik kena slepet sendiri bener kot level jakarta level apa neh copet nya sih bisa,negative
"Tadinya saya gak suka sama Gibran karena banyak orang bilang politik dinasti, ternyata memang pk Prabowo Subianto seperti nya GK salah pilih wakil",saya gak suka sama karena banyak orang bilang politik dinasti nyata memang seperti nya salah pilih wakil,negative
Mas Gibran cerdas gk usah lagi ragù pilih no 2,cerdas usah lagi rag pilih,negative
Ada yg aneh aja...,aneh aja,negative
👏👏👏✌️✌️✌️ jangan sampai kendor.... Gibran maju tak gentar 👍👍👍💪 💪 💪.,jangan sampai kendor maju tak gentar,negative
"Ga capres ga cawapres, kalo paslon 1 kerjanya nyindir terus. Kelihatannya bobotnya kurang",capres cawapres kalo paslon kerja nyindir terus bobot kurang,negative
penyebab tidak sampai 7% salah sattunya korupsi,sebab tidak sampai salah sattunya korupsi,negative
"Pesan terbuka untuk capres dan cawapres periode berikutnya: Lowongan kerja diperluas, jangan hanya mengedepankan lulusan sarjana kasih ruang untuk lulusan sma/smk dan kebawah. Tidak semua warga indonesia diberikan kesempatan untuk berdiri sampai sarjana, ketika kami ingin menaikkan perekonomian keluarga jangan dipersulit dengan sistem yang hanya berfokus pada lulusan sarjana.",buka untuk capres dan cawapres periode ikut kerja luas jangan hanya depan lulus sarjana kasih ruang untuk lulus smasmk dan bawah semua warga indonesia beri sempat untuk diri sampai sarjana ketika kami ingin naik ekonomi keluarga jangan sulit dengan sistem yang hanya fokus pada lulus sarjana,negative
Debat cawapres tidak disangka saya orang Jabar memang mengejutkan debat pa Gibran ....sangat mntap👍👍👍👍👍👍👍👍,cawapres tidak sangka saya orang memang kejut debat sangat mntap,negative
Ekonomi kerakyatan yang kami tunggu,rakyat yang kami tunggu,negative
Mohon dgn hormat para capre cawapres...hindari bhs asing...apalagi singkatan2gk jls... Bkn bodoh tp singkatankan tdk spesifik...misal blg KFC...bnyk org tau apa itu kfc...klo tnyt yg dimaksud Korea Football club gimana... Calon pemilih bkn org paham istilah aneh2...mohon dimengerti...😂,dgn hormat para capre cawapreshindari bhs asingapalagi singkatangk jls bodoh singkatankan tdk spesifikmisal blg kfcbnyk org tau apa itu kfcklo tnyt maksud club gimana pilih bkn org paham istilah anehmohon erti,negative
Yang tua cukup jadi penasehat aja. Biar yg muda berkreasi sekarang . Banyak anak muda cerdas gak pernah di dengar. Dengan adanya gibran bisa merangkul semua pemuda pemudi indonesia yg lebih baik. 🍻,tua cukup jadi nasehat aja muda kreasi sekarang anak muda cerdas gak pernah dengar ada gibran bisa rangkul semua pemuda pemudi indonesia lebih baik,negative
"Anak Muda, Pengetahuannya, Penyampaiannya, Paham, Jelas, Tegas & Lugas - CERDAS.
Kalah Telak Debat sama Anak Muda yg awal nya di Remehkan... Gibran Luar biasa..",cerdas sama awal nya biasa,negative
"ko aku ngerasa debat cawapres kali ini berbobot ya, tanpa ada menjatuhkan, bahasa yg dipakai gibran dan pak mahfud sangat mudah dipahami, tdk menggunakan bahasa retorika yg muter2 tp saya ga nyampe ke intinya",aku ngerasa debat cawapres kali ini bobot tanpa ada jatuh bahasa pakai gibran dan pak mahfud sangat mudah paham tdk guna bahasa retorika muter saya nyampe inti,negative
"Harusnya depat Capres kemarin kualitasnya seperti depat cawapres sekarang. Pemaparan visi misi jelas dan berbobot, masing-masing juga berfokus menjelaskan visi misinya. Pertanyaan antar paslon pun tidak ada yang kesannya menjatuhkan.",depat kemarin kualitas seperti depat cawapres sekarang visi misi jelas dan bobot masingmasing juga fokus jelas visi misi antar paslon pun tidak ada yang kesan jatuh,negative
bocil mana paham bisanya tanya ngotot gak berbobot wkwkwk,bocil mana paham bisa tanya ngotot gak bobot wkwkwk,negative
"Pertanyaan Gibran bukan sulit,tapi tidak dimengerti",bukan sulittapi tidak erti,negative
yg ada unsur jokowi nya saya akan pilih 😘😘,ada unsur jokowi nya saya akan pilih,negative
"AWALNYA dukung ANIS, ahirnya PRABOWO GIBRAN yg paling bisa diandalkan untuk kerja, bukan sekedar retorika",awal dukung anis ahirnya prabowo gibran paling bisa andal untuk kerja bukan dar retorika,negative
Pak mahfud ini suruh menanggapi tapi sering ya malah ngasih tambahan pertanyaan buat cawapres lain 😅 gimana rakyat bisa tau gagasan pijitannya bapak buat ke depannya,mahfud ini suruh tanggap tapi sering malah ngasih tambah tanya buat cawapres lain gimana rakyat bisa tau gagas pijit bapak buat depan,negative
No 02 harga mati❤,harga mati,negative
kalau bisa pilih jadi trio saja Prabowo-gibran-mahfud 😌,kalau bisa pilih jadi trio saja gibranmahfud,negative
"Pengen dukung no 1 tapi kata2 doang manis tapi kenyataannya yah tau sendirilah kek mna..
No 3.bagus tapi ngeri kek yang udah2 ke banyakan di atur2..
Keknya  nomor 2 ajh dah.sinkat,padat,tegas,jelas and gk bkl di atur2 kek boneka..",dukung tapi kata doang manis tapi nyata yah tau sendiri kek mna bagus tapi ngeri kek yang udah banyak atur nomor ajh dahsinkatpadattegasjelas and bkl atur kek boneka,negative
