comment,cleaned_comment
"Hem kok yang substansial cuma gibran ya, pak mahfud oke lah dikit",kok yang substansial cuma gibran pak mahfud oke lah dikit
lsncar  bgt  ngomongnya  tanpa  nyontek  kereen  bgt  dari  dulu  dari  awal  aku  selalu  pak  prabowo  sekarang  akan kepintaran  pak  gibran  luar  biasa,lsncar bgt ngomongnya tanpa nyontek kereen bgt dari dulu dari awal aku selalu pak prabowo sekarang akan pintar pak gibran luar biasa
Sesuai dengan namanya GIBRAN = Gigih & Berani,dengan nama gibran
Setelah nyoblos dan memberanikan diri untuk melihat debat cawapres 2024,nyoblos dan berani diri untuk lihat debat cawapres
"Ca imin ini knapa ya klau jawab mutar2 😅😂 pusing dengarx,",imin ini knapa klau jawab mutar pusing dengarx
Mantap mas gibran...,mas gibran
gibran ga nyangka jawaban nya bkn bangga 😂,gibran nyangka jawab nya bkn bangga
ini paslon 1 sm 3 gk pnya gagasan x ya🤣,ini paslon pnya gagas
"Penyampaian visi dan misi mimin sungguh tidak bermutu😢
Belajar lagi sana dasar kutu kupret",visi dan misi mimin sungguh tidak mutu lagi sana dasar kutu kupret
Debat yg sngat luar biasa .salam dari madura,sngat luar biasa salam dari madura
29:38 akowkowkok,akowkowkok
"Pk mahfud md kebanyakan cerita , menyampaikan visi misi krja ya malah cerita pnjang lebar gak kya gibran langsung ke intinya mantul bgt keren",mahfud banyak cerita sampai visi misi krja malah cerita pnjang lebar gak kya gibran langsung inti mantul bgt keren
Cawapres 03 kayak orang bingung gitu,kayak orang bingung gitu
dua jari.,dua jari
"Setelah debat cawapres, di belakang muhaimin bilang ke pak mahfud, ya namanya juga kampanye pak, kalau masalah terealisasinya ya saya juga gak tau deh.... Paling gitu jawabnya....",debat cawapres belakang muhaimin bilang pak mahfud nama juga kampanye pak kalau masalah real saya juga gak tau deh gitu jawab
"Mas Gibran ttp di hati pemuda 
Semangat masss maju trus.",ttp hati pemuda masss maju trus
"pilih yg anti korupsi 
milih kok yg hanya jago debat hufff
pyah",pilih anti korupsi milih kok hanya jago debat hufff pyah
"hilirisasiiiiiiii mulu.. ngak ada kata"" lain ya.. kalo ngak mampu harusnya ngak usah jabat",hilirisasiiiiiiii mulu ngak ada kata lain kalo ngak mampu harus ngak usah jabat
"Udah terbukti dari pakainnya juga, siapa yang menghormati kita sebgai msyarakat.. 
Dan yg menghormati kita semua adalah AMIN brpakain sebgai pmimpin yg akn mnghrmti msyrkat nya👍💪ingsya klo tidak di licikan sma pdi amin bkal mnang.. 
Pdip dri cra pakainnya tuh tidak mnghrmati kita,, apa kita smua masih mau pilih pdip, dri cra pakainnya tuh kya yg ngledek kita smua sbagai msyarakt apa kita msih mauuuu mmilih Pdip🙃",bukti dari pakainnya juga siapa yang hormat kita sebgai msyarakat hormat kita semua adalah amin brpakain sebgai pmimpin akn mnghrmti msyrkat nyaingsya klo tidak lici sma pdi amin bkal mnang dri cra pakainnya tuh tidak mnghrmati kita apa kita smua masih mau pilih pdip dri cra pakainnya tuh kya ngledek kita smua sbagai msyarakt apa kita msih mauuuu mmilih
H-2 baru nonton debat pemilihan capres dan cawapres tadinya 01 bismillah pindah ke 02 😊,baru nonton debat pilih capres dan cawapres tadi bismillah pindah
"Apakah Prabowo mampu kendalikan Gibran
Apakah Anies mampu kendalikan Muhai yg gila
Apakah Ganjar mampu kendalikan Mahfud ?.",mampu kendali mampu kendali gila mampu kendali
Ade Suami Sepupuku fokus debat Capres😂,fokus debat
Adakah cawapres yang fisi misinya  untuk SIM gratis,cawapres yang fisi misi untuk sim gratis
"Indonesia gak butuh makan siang dan susu gratis, tapi KORUPTOR musnah, bahan pokok dan BBM murah, juga pembangunan merata, itu yang Indonesia butuhkan, kita negara kaya raya, kenapa gak bisa dimanfaatkan dan merasa terjajah di negara sendiri🥴",gak butuh makan siang dan susu gratis tapi koruptor musnah bahan pokok dan bbm murah juga bangun rata itu yang butuh kita negara kaya raya kenapa gak bisa manfaat dan rasa jajah negara sendiri
Kerennn mas gibran tepat tenang dan jelas bravo anak muda Indonesia 🙏🙏,mas gibran tepat tenang dan jelas bravo anak muda
Jawaban mas Gibran menarik hati masyarakat Indonesia 🎉 semoga terpilih menjadi capres dan cawapres 2024,mas tarik hati masyarakat moga pilih jadi capres dan cawapres
Pisi misi pak Gibran luar biasa dan ucapan yg brmoral dan berbobot . Salam sejetrah tuk kita semua,misi pak luar biasa dan ucap brmoral dan bobot sejetrah tuk kita semua
Kukira cupu. Ternyata suhu pak gibran. Ku kira karbitan gak ngerti apa2. Ternyata matang dan fresh. Ahhh Suka bgt dg jawaban pak gibran.,cupu suhu pak gibran kira karbitan gak ngerti apa matang dan fresh bgt jawab pak gibran
"Aduh emang cuma Kalimantan aja pak yang perlu diperhatikan?? Banyak juga dari wilayah lain yang perlu pak, oot dikit saya aja masi heran ini ko trus terus an menyoroti satu wilayah yaa bagaimana yang lainnya pak??? Apa tidak anda pandang?",emang cuma aja pak yang perlu perhati juga dari wilayah lain yang perlu pak oot dikit saya aja mas heran ini trus terus sorot satu wilayah yaa bagaimana yang lain pak tidak anda pandang
Serem bgt buzzer dimana2😢,bgt buzzer mana
Yg tua minggir az deh waktu y yg muda maju💪💪 mas gibran 02 menang 🤲🤲♥️❤️,tua minggir deh waktu muda maju mas gibran menang
iklan mulu,iklan mulu
Numb 2 MERDEKA ❤️✌🏼✌🏼🔥✌🏼✌🏼❤️,merdeka
Are you right .. Cak cak I ingin bangun 40 Kota selama 5thn menjabat. This numb 1 Amin or whatever we call talk to much an it’s doesn’t look genuine is fake lol 😂😂,you right cak ingin bangun lama thn jabat numb whatever call talk much its doesnt look genuine fake lol
"Gibran cerdas ya, lbh dr ayahnya, mungkin 😊 selamat pak Jokowi n ibu.",cerdas lbh ayah mungkin selamat pak ibu
Pertumbuhan ekonomi tidak naik drastis karena korupsi dan RIBA.,ekonomi tidak naik drastis karena korupsi dan riba
Aslm.alaikum.bapanya.jokowi.dan.anaknya.ga.adil,alaikumbapanyajokowidananaknyagaadil
Aslm.alaikum.bohong.gibran.cuman.koropsi,alaikumbohonggibrancumankoropsi
Imin kalau debat lawan pak ganjar selalu kalah,kalau debat lawan pak ganjar selalu kalah
"Ada yg ngeh ga , ada tyfo penulisan klo prof mahpud md jadi no urut cawapres no urut 2",ngeh ada tyfo tulis klo prof mahpud jadi urut cawapres urut
Merinding melihat gibran terlihat tulus dan begitu cerdas dan berwawasan luwas salut dengan gibran 🙏mari kita mendukung Indonesia emas bersama gibran prabowo 💪🏽💪🏽💪🏽,lihat gibran lihat tulus dan begitu cerdas dan wawas luwas salut dengan gibran mari kita dukung emas sama gibran prabowo
Nonton berulang ulang cmn pingin liat momen keren nya mas gibran😂❤,ulang ulang cmn pingin liat momen keren nya mas gibran
Tladan gibran❤❤❤❤❤❤❤,gibran
"01 03 siap2 nangis...kalah😂😂😂
Karena selalu merendahkan orang lain.
Bismillah Prabowo Gibran menang 1 putaran,,Aamiin",siap nangiskalah selalu rendah orang lain menang putar
"Aturan debat nya terlalu kaku, kita tidak melihat pertarungan gagasan tukar fikiran dengan waktu yang memadai
Kurang puas",debat nya terlalu kaku kita tidak lihat tarung gagas tukar fikiran dengan waktu yang pada puas
"Tetep mas Gibran ,,,,semangat",mas semangat
"Indonesia ini ada beberapa agama.. Jadi masukan untuk TV chanel, atau acara acara lainnya jika itu berbau UMUM maka setiap salam dari agama harus di ucapkan di awal dan akhir kegiatan. Emang yg nonton dan para pemilih dan lapisan masyarakat cuma muslim saja?",ini ada beberapa agama masuk untuk chanel atau acara acara lain jika itu bau umum maka tiap salam dari agama harus ucap awal dan akhir giat nonton dan para pilih dan lapis masyarakat cuma muslim saja
gibran keren logis dan tepat,gibran keren logis dan tepat
Torang dari gorontalo dukung Paslon prbawo gibran❤,dari gorontalo dukung prbawo gibran
Tetap semangat pak prabowo dan mas Gibran 💪😁,semangat pak prabowo dan mas
"Yang jelas Sebagai ( permintak an ) rakyat kecil KORUPTOR HUKUM MATI beres , jangan SELEPAT SELEPET aja",jelas mintak rakyat kecil koruptor hukum mati beres jangan selepat lepet aja
Generasi emas ya 02 ❤,emas
merinding denger suaranya mas gibran..,merinding denger suara mas gibran
ngomong apa si pak mahfud 😂,ngomong apa pak mahfud
"menaikkan rasio pajak.. macem Pajak Hiburan kah ? dari 20% jadi 40-70% ? sekarang, negara2 no.1 di sektor Pariwisata, Industri, dll.. berlomba-lomba menurunkan Pajak, ini koq malah dinaik kan ?",naik rasio pajak macem kah dari jadi sekarang negara sektor dll berlombalomba turun ini koq malah naik kan
"...kalian semua buzzer 02 kah kenapa satupun aku galiat pendukung 01/03?

Kalian fucked semua, orang problematik di support.",kalian semua buzzer kah kenapa satu aku galiat dukung fucked semua orang problematik support
@Mas Gibran & Pak Prabowo semangatttt terus 🥰🥰🥰🥰,semangatttt terus
Minimal sopan santun,sopan santun
Masa allah mas gibran luar biasa ✌️✌️✌️❤❤❤❤,allah mas gibran luar biasa
Dari dl gak perna liat soal debat pas liat mas gibran langsung jato hati slm 2 jari ✌️✌️✌️✌️❤️❤️❤️❤️❤️❤️❤️❤️,gak perna liat soal debat pas liat mas gibran langsung jato hati slm jari
"Hidup no 2,hidup Prabowo Gibran ✊✊✊✊✊❤❤❤❤",hidup
Gibran is the best.,the best
Pk gibran msih muda tpi pnglamn mslah politik sdh di luar kepala yg tua2 aja yg bnyk pnglaman nya kalah msih bnyk mikir dn nyontek2😅 slam 2 jari❤,gibran msih muda tpi pnglamn mslah politik sdh luar kepala tua aja bnyk pnglaman nya kalah msih bnyk mikir nyontek slam jari
"Mas Gibran super duper brilian,amazing 💙✌️🥰😘",super duper brilianamazing
"Mas gibran , ❤",gibran
"Menit 23.06 Mahfud ..masa mau jadi CAWAPRES Indonesia cuma ngucapin salam buat agama islam .lsng disambung ma
ri kita menundukkan kepala 
Woyyy yg bener aja 
Gak pilih deh ..👎",masa mau jadi cawapres cuma ngucapin salam buat agama islam lsng sambung kita tunduk kepala bener aja pilih deh
anies R1,anies
"01 fix kebanyakan menghayal
02 mukbang gratisan ga perlu seharusnya diubah dengan program yang lebih tepat
03 biasa aja ga aneh-aneh

02, 03 maju!! Tukang menghayal terus saja bermimpi 🤣🤭",fix banyak menghayal mukbang gratis perlu harus ubah dengan program yang lebih tepat biasa aja anehaneh maju menghayal terus saja mimpi
"Luar biasa didikan pak jokowi,,semakin yakin pilih 02 💪Aceh all in prabowo,kami tidak butuh omong kosong.

Cawapres 01,,bagus sekali fiksi dan halusinasi anda 🤣🤣pertahan kan pak,,Bapak cocok sama pasangan bapak 🤣🤣",biasa dik pak jokowisemakin yakin pilih all prabowokami tidak butuh omong kosong bagus sekali fiksi dan halusinasi anda tahan kan pak cocok sama pasang bapak
"Gara2 debat gak penting malah gak bisa nonton afc 2024,,,ayo cepet siarin afc aja broo",gara debat gak penting malah gak bisa nonton afc ayo cepet siarin afc aja broo
"Gak suka lihat debat,,,  cuma bagi yang suka sepakbola mikirrrrr 😅😅😅😅😅😅",suka lihat debat cuma bagi yang suka sepakbola mikirrrrr
"Koalisi Indonesia Maju...yes.
02...josss",yes josss
Gibran is the best. 02 satu putaran,the best satu putar
O2 saja...oke,sajaoke
"Yang lain gak ngerti apa apa, Cak Imin paling kasihan, Sepintar2 nya pak Mahfud selalu ekonomi digiring ke hukum terus, Gibran top",lain gak ngerti apa apa paling kasihan pintar nya pak selalu ekonomi giring hukum terus top
Dibantai sama Gibran ini,sama ini
"Ganteng, Muda, Cerdas, Soleh, Santun dan Amanah dengan Segudang Prestasi, tau kan??? SALAM PERUBAHAN. AMIN",dan dengan tau kan salam ubah amin
"Muhaimin jgn jd wapres, cocok jadi pelawak aja, gantiin grup patrio😂😂😂",jgn wapres cocok jadi lawak aja gantiin grup patrio
Puas dengan ketiga cawapres ini sangat hebat dari pada debat ketiga capres yang kemaren,dengan tiga cawapres ini sangat hebat dari pada debat tiga capres yang kemaren
"Gak pilih"" Mantapppp semuanya, cuman Rakyat tidak membutukan janji"". Yg di butukan Rayat hanya kepastian, siapapun yg akan jdi pemimpin negara RI nantinya Amanah Adil Tegas dan Bijaksana itu saja..

Masyaallah salah 1 di antara 3 ini saya sangat salut dan salut banget tenang dan sangat jentel tetep Semangat Allah SWT bersama kita semua Aamiin3X yrb.",pilih semua cuman tidak membutukan janji butukan hanya pasti siapa akan jdi pimpin negara nanti dan itu saja salah antara ini saya sangat salut dan salut banget tenang dan sangat jentel tetep swt sama kita semua aamiinx yrb
"Palembang pro Prabowo,, Gibran yes",pro yes
Gibran ngak banyak janji juga tidak menjatuh kan agar dia naik ini yg aka salut,ngak banyak janji juga tidak jatuh kan agar dia naik ini aka salut
"Min-min gimana mau di pilih dulu aja ikut potong tumpang, sekarang beralih, sunggu baik jejak digitalnya tidak bisa di main² kan. 
40 kota setara jakarta 1 ikn aja sudah tak sanggup, kita² mah dukung yg logis dan masuk akan aja ya pak imin. 😂.",min gimana mau pilih dulu aja ikut potong tumpang sekarang alih sunggu baik jejak digital tidak bisa main kan kota tara jakarta ikn aja sudah tak sanggup kita mah dukung logis dan masuk akan aja pak imin
Mas gibran pantas untuk menjadi cawapres 2024.pernyataannya sangat berkualitas,gibran pantas untuk jadi cawapres nyata sangat kualitas
"Mafud, imin, ga ada terlihat visi misi nya,, ngomong nya ngawur",imin ada lihat visi misi nya ngomong nya ngawur
Debat belum mulai kok sdh komentar Gibran hebat debatnya...akun palsu.,belum mulai kok sdh komentar hebat debatnyaakun palsu
Jgn gentar dgn banyaknya pendukung masuk kekolom-kolom komentar krn itu sdh disetting demikian. Banyak akun2 palsu bertebaran dikolom komentar krn serangan fajar spt ini sdh disetting.,gentar dgn banyak dukung masuk kekolomkolom komentar krn itu sdh disetting demikian akun palsu tebar kolom komentar krn serang fajar spt ini sdh disetting
"Buzzer 02 mulai masuk kolom komentar inews..hati2 narasi gimmik mereka yg mengatakan pindah ke 02 dsb. Menurut sumber yg dpt dipercaya, mereka membuat akun ganda agar seolah-olah pendukung banyak. Tetap setia kpd Ganjar🤟🤟🤟🤟🤟👍👍👍👍👍",mulai masuk kolom komentar inewshati narasi gimmik mereka kata pindah dsb sumber dpt percaya mereka buat akun ganda agar seolaholah dukung banyak setia kpd
Berani nda pak mahfud md  nti tangkap pak ganjar klu terbukti korupsi???,nda pak mahfud nti tangkap pak ganjar klu bukti korupsi
Gibran cocok sama anis harusnya cerdas,cocok sama anis harus cerdas
01 wapres & cawapres nya terlalu halu imajinasi 😭,wapres cawapres nya terlalu halu imajinasi
"Kbnykn janji manis klw sudah duduk lupa brantas korup. .
Smoga yg mnang amanah kpd rakyat . Bnyk infes bnyk korup tanam padi tumbuh gedung",janji manis klw sudah duduk lupa brantas korup mnang amanah kpd rakyat infes bnyk korup tanam padi tumbuh gedung
❤ malm ini mantap❤,malm ini mantap
❤jelas❤❤,jelas
Slepett hahahahaha ngakak njirr,hahahahaha ngakak njirr
"Bener bgt TemanBus berguna banget di Banjarmasin-Banjarbaru, KalSel. Digitalisasi udah mulai terasa, TemanBus sudah mulai pakai E-Money kaya tol di JKT. Sdmnya kalo diajarin dilatih bisa kok. Ibu aku 62 tahun bisa pake TemanBus bayar pake E-Money diajarin sama drivernya dan di rumah juga diajarin dan dibantu untuk Top up sendiri. Ibu aku umur 62 tahun bisa dan baru belajar setahunan ini. Asal mau belajar pasti bisa kok❤",bgt temanbus guna banget kalsel udah mulai asa temanbus sudah mulai pakai kaya tol jkt kalo diajarin latih bisa kok aku tahun bisa pake temanbus bayar pake diajarin sama drivernya dan rumah juga diajarin dan bantu untuk sendiri aku umur tahun bisa dan baru ajar tahun ini mau ajar pasti bisa kok
Tidak ada yang berani hukum mati koruptor,ada yang berani hukum mati koruptor
Tidak ada  yang berani hukum mati koruptor..,ada yang berani hukum mati koruptor
Tidak ada yang berani hukum mati koruptor..,ada yang berani hukum mati koruptor
"Bagaimana cara mengatasi anak anak telantar, anak anak punk, anak seorang ibu/bapak yang lumpuh, namun mengemis, cara mengatasi terjadinya seks di umur dini,",cara atas anak anak telantar anak anak punk anak orang ibubapak yang lumpuh namun emis cara atas jadi seks umur dini
"Cak Imin janji kosong, tidak mampu melakukan nya.😂😮😊",janji kosong tidak mampu laku nya
Mantap mas Gibran Rakabumi kami akan memberikan informasi tersebut ❤❤🎉,mas kami akan beri informasi sebut
"Coba mas gibran debatnya di dpn mhsiswa,dikampus atau di ILC ? bs jwb ga",mas gibran debat dpn mhsiswadikampus atau ilc jwb
All in probowo ❤,probowo
Sangat apresiasi pada pak gibran yang sangat pintar lansung di mulaii dga slam dari smua agma hhhh sangat pintar👍👍👍👍👍,apresiasi pada pak gibran yang sangat pintar lansung mulai dga slam dari smua agma hhhh sangat pintar
Sangat burut di do'anya nga ada toleransi skali jgan hnya asalamualaikum tpi hrus ada juga Shalom om Swastiastu dan agama lain yng igin di slmin jga kles 😤😤,burut doa nga ada toleransi skali jgan hnya asalamualaikum tpi hrus ada juga dan agama lain yng igin slmin jga kles
MALUKU UTARA TETAP PRABOWO ✌️,malu utara tetap prabowo
"Sabar pak mahfud, ini ujian...
Nanya ini jwb itu",pak mahfud ini uji ini jwb itu
"Terlalu percaya diri, gk nyambung jd nya",percaya diri nyambung nya
"Denger mas Gibran ,berasa denger ...Pak Jokowi",mas asa denger
"Koruptor mending di hukum mati aja pak daripada meresahkan ,kami sebagai rakyat setuju kok",mending hukum mati aja pak daripada resah kami bagai rakyat tuju kok
Seharusnya³ bnyak bnget seharusnya 😅. Insesetasi apa sih proff,harus bnyak bnget harus apa sih proff
Ternyata kedewasaan orang bukan dari paktor umur tapi dari ucapan itikod dan prilakunya yang baik yang dewasa ucapan dan prilakunya.,dewasa orang bukan dari paktor umur tapi dari ucap itikod dan prilakunya yang baik yang dewasa ucap dan prilakunya
"keren deh utk mas Gibran,pasangan yg cocok utk pak Prabowo,,pilihan kami TDK akan berubah,,semoga klu pak Prabowo dan mas Gibran duduk ciptakan lh lapangan kerja utk seluruh rakyat indonesia.tampa batas umur.😘✌️",keren deh utk mas pasang cocok utk pak pilih kami tdk akan berubahsemoga klu pak dan mas duduk cipta lapang kerja utk seluruh rakyat indonesiatampa batas umur
Mas Gibran cerdas gk usah lagi ragù pilih no 2,cerdas usah lagi rag pilih
"Mas Gibran cerdas
Selamat anak muda cerdas",cerdas anak muda cerdas
Kurang yakin nomer 1 menang 😂,yakin nomer menang
"All in prabowo yang lain embyeh2 broo wis to motomu bukaken. Sijine hobine jalan2 gk kerja toh kepasar cuma cari muka  .satunya air dialirkan ketanah yang bikin banjir..
Lebih bangga punya pesawat tempur dan mobil alutvista anak bangsa di pindad.
 saya tinggal dijateng merantau di jakarta dan itu yang saya rasakan..",prabowo yang lain embyeh broo wis moto bukaken hobine jalan kerja toh pasar cuma cari muka satu air alir tanah yang bikin banjir bangga punya pesawat tempur dan mobil alutvista anak bangsa pindad saya tinggal dijateng rantau jakarta dan itu yang saya rasa
Daripada debat ttg telinga Bangus bahas angka kelahiran yg cukup tinggi akan berdampak buruk bagi kemajuan Indonesia,debat ttg telinga bahas angka lahir cukup tinggi akan dampak buruk bagi maju
"Aduuuh love love sma PRABOWO GIBRAN  ❤❤
Makin semangat coblos prabowo yg ke 3x nya ❤",love love sma prabowo gibran semangat coblos prabowo nya
"Mahfud md klejingan koyo wong bakol cendol 😂,pokoke prabowo gibran ❤",klejingan koyo wong bakol cendol pokoke prabowo gibran
"IBARAT HERO BARU RELEASE, TERLALU OP MAS GIBRAN. GA NYANGKA SIH😂🤘",ibarat hero baru release terlalu mas gibran nyangka sih
"Kalau si MUHAIMIN jadi wapres maka si GUS GUS yg ada di jawa makin ngelunjak sombong dan tarif ceramahnya pasti minta ratusan juta,,,hahahahahaha😂😂😂😂😂😂😂",muhaimin jadi wapres maka gus gus ada jawa makin ngelunjak sombong dan tarif ceramah pasti minta ratus jutahahahahahaha
memang aneh dia lbih suka bikin ktp utk angin ke timbang pembangunan ikn,memang aneh dia lbih suka bikin ktp utk angin timbang bangun ikn
pak jkw ke dua mas gibran plek ketiplek mirip pak jkw❤❤❤❤❤❤❤,pak jkw dua mas gibran plek ketiplek mirip pak jkw
Satu kata mantap buat no 2✌❤,kata mantap buat
Kami pilih no 1 100% di jamin halal,pilih jamin halal
"Maaf bapak CAWAPRES no urut 1 , pakai lah bhsa indo yg baik dn benar apa itu arti CLEPET??? 
Mohon pke bhsa indo yg baik dn bner,",bapak cawapres urut pakai lah bhsa indo baik benar apa itu arti clepet pke bhsa indo baik bner
slepet pakkk,slepet pakkk
"selesai. selesai. tapi ngga selesai, wkwkwk",selesai selesai tapi ngga selesai wkwkwk
Anis kasih angin KTP WAKIL NYA mau buat kampung saya kaya jakarta😂,kasih angin ktp wakil nya mau buat kampung saya kaya jakarta
si anis sm imin cocok'y jadi tukang sirkus ga sih,anis imin cocoky jadi tukang sirkus sih
Prabowo gibran gassss,gibran gassss
Mas Gibran bener2 penhelasannya bisa dimengerti utk anak2 mudah reality bgt jawabannya,bener penhelasannya bisa erti utk anak mudah reality bgt jawab
Mas Gibran keren.... jawaban dan penjelasannya TOP BGT... sukses Mas Gibran ❤,keren jawab dan jelas top bgt sukses
huhu mantap kena mental sama mas gibran,huhu mantap kena mental sama mas gibran
"Bapak mahfud saya sangat suka tapi klo orang madura ngeluh kepada bapak lah selama ini bapak kmana?..... karna itu bukan cuma tugas president pak..... 300 juta rakyat lhooo... so jadi lebih tepat nya itu tugas kepling.... 
Nah yang ngurus kepling itu suruh lurah.....dan setrus nya,,,, minimal bapak bisa protes sama camat nya,,,😊",mahfud saya sangat suka tapi klo orang madura ngeluh kepada bapak lah lama ini bapak kmana karna itu bukan cuma tugas president pak juta rakyat lhooo jadi lebih tepat nya itu tugas kepling yang ngurus kepling itu suruh lurahdan setrus nya minimal bapak bisa protes sama camat nya
"bukti yg rakyat butukan .bukan berjangji
saya dukung no 2",bukti rakyat butukan bukan berjangji saya dukung
"Gibran MVP COKK,,,, 2 panggah maju",mvp cokk panggah maju
"anis muhaimin sama"" kocak😅😂",anis muhaimin sama kocak
Digitalisai...bosss..ok,bosssok
"dari kata pembukanya saja nampak cuma sepihak ,cawapres ganjar dan anis sedangkan gibran menghormati 5 agama dinegara indonesia",dari kata buka saja nampak cuma pihak cawapres ganjar dan anis sedang gibran hormat agama negara indonesia
Mas gibran yessss  the beast,gibran yessss the beast
"Katanya anak ingusan pas debat kok kalah sama anak ingusan 😂,.
Bangga Indonesia dengan adanya pak Jokowi yang telah membangun Indonesia lebih baik dan memiliki anak2 hebat seperti beliau😢 kok aku sedih ya terharu pak saya bangga sangat pada anda❤",anak ingus pas debat kok kalah sama anak ingus dengan ada pak yang telah bangun lebih baik dan milik anak hebat seperti beliau kok aku sedih haru pak saya bangga sangat pada anda
