cleaned_comment,cluster
suka lihat debat cuma bagi yang suka sepakbola mikirrrrr,7
yes josss,7
the best satu putar,10
sajaoke,7
lain gak ngerti apa apa paling kasihan pintar nya pak selalu ekonomi giring hukum terus top,7
sama ini,7
dan dengan tau kan salam ubah amin,7
jgn wapres cocok jadi lawak aja gantiin grup patrio,7
dengan tiga cawapres ini sangat hebat dari pada debat tiga capres yang kemaren,7
pilih semua cuman tidak membutukan janji butukan hanya pasti siapa akan jdi pimpin negara nanti dan itu saja salah antara ini saya sangat salut dan salut banget tenang dan sangat jentel tetep swt sama kita semua aamiinx yrb,7
pro yes,7
ngak banyak janji juga tidak jatuh kan agar dia naik ini aka salut,7
min gimana mau pilih dulu aja ikut potong tumpang sekarang alih sunggu baik jejak digital tidak bisa main kan kota tara jakarta ikn aja sudah tak sanggup kita mah dukung logis dan masuk akan aja pak imin,7
gibran pantas untuk jadi cawapres nyata sangat kualitas,7
imin ada lihat visi misi nya ngomong nya ngawur,7
belum mulai kok sdh komentar hebat debatnyaakun palsu,7
gentar dgn banyak dukung masuk kekolomkolom komentar krn itu sdh disetting demikian akun palsu tebar kolom komentar krn serang fajar spt ini sdh disetting,7
mulai masuk kolom komentar inewshati narasi gimmik mereka kata pindah dsb sumber dpt percaya mereka buat akun ganda agar seolaholah dukung banyak setia kpd,7
nda pak mahfud nti tangkap pak ganjar klu bukti korupsi,7
cocok sama anis harus cerdas,7
wapres cawapres nya terlalu halu imajinasi,7
janji manis klw sudah duduk lupa brantas korup mnang amanah kpd rakyat infes bnyk korup tanam padi tumbuh gedung,7
malm ini mantap,7
jelas,7
hahahahaha ngakak njirr,7
bgt temanbus guna banget kalsel udah mulai asa temanbus sudah mulai pakai kaya tol jkt kalo diajarin latih bisa kok aku tahun bisa pake temanbus bayar pake diajarin sama drivernya dan rumah juga diajarin dan bantu untuk sendiri aku umur tahun bisa dan baru ajar tahun ini mau ajar pasti bisa kok,7
ada yang berani hukum mati koruptor,7
ada yang berani hukum mati koruptor,7
ada yang berani hukum mati koruptor,7
cara atas anak anak telantar anak anak punk anak orang ibubapak yang lumpuh namun emis cara atas jadi seks umur dini,2
janji kosong tidak mampu laku nya,7
mas kami akan beri informasi sebut,7
mas gibran debat dpn mhsiswadikampus atau ilc jwb,7
probowo,7
apresiasi pada pak gibran yang sangat pintar lansung mulai dga slam dari smua agma hhhh sangat pintar,7
burut doa nga ada toleransi skali jgan hnya asalamualaikum tpi hrus ada juga dan agama lain yng igin slmin jga kles,7
malu utara tetap prabowo,7
pak mahfud ini uji ini jwb itu,7
percaya diri nyambung nya,7
mas asa denger,7
mending hukum mati aja pak daripada resah kami bagai rakyat tuju kok,7
harus bnyak bnget harus apa sih proff,7
dewasa orang bukan dari paktor umur tapi dari ucap itikod dan prilakunya yang baik yang dewasa ucap dan prilakunya,7
keren deh utk mas pasang cocok utk pak pilih kami tdk akan berubahsemoga klu pak dan mas duduk cipta lapang kerja utk seluruh rakyat indonesiatampa batas umur,7
cerdas usah lagi rag pilih,7
cerdas anak muda cerdas,2
yakin nomer menang,4
prabowo yang lain embyeh broo wis moto bukaken hobine jalan kerja toh pasar cuma cari muka satu air alir tanah yang bikin banjir bangga punya pesawat tempur dan mobil alutvista anak bangsa pindad saya tinggal dijateng rantau jakarta dan itu yang saya rasa,7
debat ttg telinga bahas angka lahir cukup tinggi akan dampak buruk bagi maju,7
love love sma prabowo gibran semangat coblos prabowo nya,7
klejingan koyo wong bakol cendol pokoke prabowo gibran,7
ibarat hero baru release terlalu mas gibran nyangka sih,7
muhaimin jadi wapres maka gus gus ada jawa makin ngelunjak sombong dan tarif ceramah pasti minta ratus jutahahahahahaha,7
memang aneh dia lbih suka bikin ktp utk angin timbang bangun ikn,7
pak jkw dua mas gibran plek ketiplek mirip pak jkw,7
kata mantap buat,7
pilih jamin halal,7
bapak cawapres urut pakai lah bhsa indo baik benar apa itu arti clepet pke bhsa indo baik bner,7
slepet pakkk,11
selesai selesai tapi ngga selesai wkwkwk,7
kasih angin ktp wakil nya mau buat kampung saya kaya jakarta,7
anis imin cocoky jadi tukang sirkus sih,7
gibran gassss,7
bener penhelasannya bisa erti utk anak mudah reality bgt jawab,7
keren jawab dan jelas top bgt sukses,7
huhu mantap kena mental sama mas gibran,7
mahfud saya sangat suka tapi klo orang madura ngeluh kepada bapak lah lama ini bapak kmana karna itu bukan cuma tugas president pak juta rakyat lhooo jadi lebih tepat nya itu tugas kepling yang ngurus kepling itu suruh lurahdan setrus nya minimal bapak bisa protes sama camat nya,7
bukti rakyat butukan bukan berjangji saya dukung,7
mvp cokk panggah maju,7
anis muhaimin sama kocak,7
bosssok,7
dari kata buka saja nampak cuma pihak cawapres ganjar dan anis sedang gibran hormat agama negara indonesia,7
gibran yessss the beast,7
anak ingus pas debat kok kalah sama anak ingus dengan ada pak yang telah bangun lebih baik dan milik anak hebat seperti beliau kok aku sedih haru pak saya bangga sangat pada anda,2
biasamas akan bawa indonesia emas dan sejahtera lewat kerja nyata,7
lihat gibran itu diam bkalan mnjwab debat visi misi gagas ehhhhhh nyata buat kaget nyata benar cerdas pintar beril dan adab bravo anak muda terus maju tdinya mengidolakn ganjar dan mahfud tpi stelah mlihay debat capres dan org bilang bagus debat cawapres dan penasaran akhir saya kagum gibran masha allah yes,7
bpk,7
lht msgibranjd mantap pilih paslon noorangnya santuntenang cerdas,7
baru bagus debat masalah debat visi misi beda dengan depat capres kemarin saling debat jatuh paslon lain,7
ngawor tok,7
pimpin yang tegas itu bapk,7
slepet slepat slepet suruh nyampai kan visi misi malah ngarang cerita bebas,11
ganjar pake topi apa itu haahahahah,7
ngomong cak cak,7
nya prabowo terbaikcapres lain nya kita slepet,11
kau min slepet,11
kata cak imin bagai botol tutup nyatp botol minyak angin wkwk,7
mantap,7
yang punya jelas saya tidak temu visi yang jelas untuk indonesia depan dari nomor dan,7
mbah tiap desa iku,7
plonga plong kata kalian boss senggol dong salute,7
juga klu buat malaysia belum pru,7
pak mahfud malah dongeng visi misi apa pak,7
klw mafud dgn pak anis pasti seru,7
masih muda gila cerdas bgetbravoo mas gibrannnn,2
gue geuli yah denger kata slepet,11
mantap,7
slepet doang bisa nya plis apa sih kosong,11
ngakak slepat slepet omdo doang,11
cnn indnesia lopa,7
prbaowo gibran,7
kosong maju sama bangsa indonesia,7
barat,7
kaya booleh rampok oleh negara aset nya sita,7
gussssss nyindir blng bos,7
paslon urut bisa buat janji palsu nya sama mungkin dan sdh diskusi gimana lumpuh hati rakyat saat blom pilih kalau sdh pilih kalau bodoh amat dgn,7
harus slepettt,7
mya mending yang waktu debat capres,7
nya kok mringis kalau ingin bab jangan tahan,7
perlu walpres yang milenial krna dia paham juga apa butuh kan anak mudaanak sekolah sma mas yang berani dan semua sampai sangat logis,7
akun buxzer sini asem wkwk,7
buat mas gibran sopan santunmuhai seman madu tutur sapa sejuk kalbu,7
gibran,8
klo gin mah yakin capres nya aja lawan sama gibran,7
debat cawapresma beneran lebih serius debat tentang gagasantpi pas liat debat capres rasa kaya debat personal dari pihak lain dan saling tusuk bukan bahas bangsa tapi nalah jatuh harga diri orang lain,7
cuma akan jadi hibur klou pada realitas cuma omong janji kosong alam belum malah jadi munafik pilih akhlak agama paling baik,7
nih tanya tips and trick malah ngambang mana jawab huftt,7
dong yag tadi pilih ini sekarang pilih ituah lucu udah punya hak pilih kok kayak anak kecil gapunya diri,7
dari opening dan tutup mrk ngomong aja udh liat mana cermin salah satu nilai pancasila yaitu toleransi,7
amin,7
berantas,7
sampai visi misi wapres nomer dan wapres bicara ngalor ngidul pakpakmalu sama mas jelas sampai visi misi,7
hasil nepotisme begitu apa pantes pilih aja sich,7
sama kantung mata mas gibran sehatsehat semua,7
telah lihat debat debat cawapres gue rasa yang paling bobot dan masuk akal cuma,7
imin klo abis ngmmg mulut komat kamit,7
lihat debat cawapres seperti perlu pindah nomor,7
lebih lho pak mahvud investor yang masuk ikn ngga tau,7
imin misi visunya apa kok ngga paham iya,7
pak mahmud cerita apa pak inti mana tuju nya untuk indonesia maju,7
yeee love love,7
paslon wapres telah sampai visimisi nya jelas tegas semua baikttp hanya kejujuranketulusan cinta akan itu jadi penentukiranya tonton sadar waras untuk nila,7
muda bangsa yang luar biasa,2
sekaleeeee jawab,7
klau tengok ini persis film korea queemarker,7
cawapres sama seperti anis saat calon gebernur tau jakarta hancur,7
prabowo gibran pasti menang nya amin love pak,5
imin cocok nya jadi lawak,7
mau brantas kropsi itu arti indonesia harus updatebagaimna mau brantas jikalau hukum tak buat para koruptor itu jerahcoba hukum mati itu barubagiakan henphone kena pirus terus format bersih,7
dengar banyak puji untuk wakil akhir nonton betul pak gibran beril tapi lihat juga sangat ambisi layak anak muda,2
hebat mantap pak saya percaya terbaek buat indonesia,7
prabowo dan mas gibran lah pememnang nya amin allah,7
kebun binatang ngakak banget selalu stay,7
hadirrrr gibran saluttt pinter cerdas dan hebat dukung nomor pak prabowo dan mas gibran,8
kepsda abang dan kakak kakak sukses lancar telkomsel samsung beri cita cita kebahagian aamiin,7
masya nggk banyak janji dan stetmen beliau sangat jelas shaa allah bissmillah prabowo presidenk tahun,7
paling the best,10
usah debatbiar capresnya saja berdebatcawapres tinggal ngikut capres saja,7
gibram luar biasaaa,7
jelang milu bru inget rakyat ada dmn jdi selmat tinggal prabowogibran semngat,7
gibran keren cerdas bisa paham tdk tele tele yuk kita dukung prabowo subianto dan gibran rakabuming raka kereenn,7
nonton debat cawapres lebih seru ini jawab arah dan jelas juga gmpang atur saat tegur jadi bisa fokus dengar jawab mereka,7
jadi golput gua saya pilih pak dan pak,7
ana ghibran nama sama dengan ana,7
smk okeh ngagur pilih krj gji juta pnak jdi tkw,7
dukung pak ganjar pak mahfut the best,10
bener gilakkkkkkksaya puas atas jawab mas saya enggak pake mikir saya sah pindah cerdas energik enggak pindah lain hati,7
slepet,11
gibran debat,8
magang,7
imin jambu omong ken bangun kota kelas jakarta,7
tetap mntaaaapppp,7
gimanadlu ngedukung skarang kgak karena nyalon cawapressiya iya kata yaa mungkin pikir ibarat apa tadi botol sama tutupnyaatapi kaya nih tutup botol bukan original pabrikcuma pas aja botol pas mau dipake nihh botoltapi kira klo ada botol lain mau dipakepindah juga kali nihh tutup botol karena bukan bawa pabrikkhebat juga tuhh tutup botol pindah sono sini pnting kpakebisa ajahhh dah ahh tutupp botol,7
persiden,7
paling layak menang,5
wibawa masih wibawa muda walaupun masih bilang bocah,7
mas gibrann,7
jos,7
versi gibran prabowo balas bungkam lawan,7
lagi lihat pak dalam diri mas gibran selalu tenang,7
hidup prabowo gibran,8
lagi lihat pak dalam diri mas gibran selalu tenang,7
bisa bangat tahan diriketika mahfud sangat tekan bahwa pasti tidak tau mahfud tidak tau,7
the bese,7
gibran samangat mas gibran,8
diam mghnyutkn yaaa,7
yakin telah nonton ini,7
blimbing sayur taro mana titel,7
kita milu penting kita aman dan damai kita kita ini moga akur dan damai amin rabbal alami huakbar,7
saya bagai tri erti eeh nyata sini yang cerdas anak mudamaju terus anak muda,2
luar biasa,7
gibran gampang paham seriuss dngerin bapak muterr,7
mudah lebih cerdas,7
gua nyangka gibran cerdas itu terharuuuu anti menye menye,7
bohong atau puhak bri tidak jujur jta tanpa anggun,7
debat paling seru paling bobot dan paling edukasi drpd debat capres lanjut mas gibran,7
aja kliatan denger jawab kita rakyat,7
lupa pernh motong tumpeng malu ampun dah dukung tpi pke suara kliatan kan bsa kerja mana tong kosong tau kan miris kalah sama anak bocah,7
mahfudz pake baju kyk gitu,7
sekarang kita harus banyak dukung anak muda indonesia untuk prestasi pikir cerdas kerja cekat klaus orang dewasi pimpin banyak koropsi aja banyak pikir pokok prabowo gibran bisa maju karena misi misi terus kerja pak jokowi,2
gibran love you,7
wow miliar untuk tiap desa akan tagih janji itu pak dan akan lihat bagaimana kembang desa pencil yang jadi tempat saya lahir semogaa ada ubah amiinn,7
bukti adalah,7
bawa contek,7
sdm perlu baik pak,7
the best,10
layak jadi wapres adalah mas gibran tidak erti dan jelas visi misi tahun depan dua bicara sistem perintah yang sedang jalan saat ini alias jelek,7
mahpud ngomong apa sih mana visi misi pak,7
yes,7
muda tak suka bertelekebiasaan orang tua ngomongnya pada ngambang,2
malu kah itu pas respon gibran pas bilang dia dlu dukung bgt dan resmi potong tumpeng,7
saat kaum muda memimpinorang tua hanya pantau,2
plus korupsi juga plus,7
betul mas gibran,8
luas wawasanyacara bicara santunapa adanyatulusmasih muda tapi hebat semangat mas gibran,7
gibran memang cerdasmasih muda pengalamanwawasanngalahin yang tuahebat,7
kok pakai teksemang pidatohhhh,7
imin nyambung,7
gibran cerdas manis banget,7
liat depat ini daripada yang belah,7
tegas lugas dan cerdas masya,7
jossss,7
tegas lugas dan tidak pernah lebih waktu saat bicara,7
tanya gibran itu krg erti masyarakattujuan debat salah satu nya adalah sampai nya pesan dan jelas paslon kpd masyarakatbkn dgn kalimat singkat dan kalimat perlu jelas spt prtnyaan sampai cak imin dan mahfud,7
visi misi pak mahfud yang baik berantas korupsi yang paling urgent negara ini,7
desa seluruh,7
amin depan,7
mas terus pak dan,7
jelas cerdas,7
tiap tahun per desa,7
dukung pak ganjar nomer,4
min mimin gamasok akal blass debat slepet opo iku slepet,11
santun gimana bukan muka angkuh gitu,7
anak muda akan gandeng tangan untuk ubah yang baik demi,2
tuhan yesus bpk prabowo gibran,7
itu sih bukan debat boss itu nama dongngeng atau cerita,7
prabowo gibran baik,8
bisa all prabowo gibran,8
minta buat lamar kerja gausah banyak pensyaratan malu sama luar negri gajih puluh juta cuman ijazah,7
prabowo pas,7
mirip banget sama apakah memang karena anak atau jadi nya,2
salam warohmatulloh wabarkatu,7
lagi wkwk,7
penganguran,7
warohmatulloh wabarkatu,7
humma solli ala ala misi ttg jaga ahlak dan iman makin turun atas ekonomi turun miskin menikatkan aman trima kasih atas perhatiannyo untuk dpat mempertimbangkannyoo,7
bless respecful,7
top global,7
misi bapak prof makfud benar dan masuk akal,7
mahfud paling erti butuh rakyat indonesia,7
tee satee siapa mau satee,7
kondisi yang bagi support nya ramai terlalu lebih kesan bisa ganggu baik kasih,7
imin tidak tau mungkin bahwa banjarmasin sudah mulai maju kami warga kalimantan tidak perlu kasihan pak karna gebernur kami lebih sejahtera pak bangun kota bukan cuma omong target doang pak bukti,7
gibran all,8
gibran allin,7
pak amin jika dia pilih salah satu dari kata yaitu akan ikan desa indonesiatetapi uang turun lalu walikota turun camat turun lagi kades turun lagi kertrw udah berapa tangan megang duit hasil nya rakyat bawah cuma ampas doang dapat,7
milyar per desa,7
udah jadiin cawapres akhir lupa potong tumpeng ikn,7
you mas,7
hahaha,7
gratis untuk anak prajurit dan bayangkarauntuk orang kek kita tetap bayargak ada perata,7
liat mana yang tele tele mana yang sat set,7
kalo pak gibran jadi wapres pasti ekonomi digital naik tinggi nihcoz crypto khusunya udh bisa hindar dulu pimpin tua semua dan hasil gitu aja kecuali skrng ada bangun lebih rata coba sekali muda biar tau ada sekarang kolot kembang tekhnologi makin cepat harus ada muda urus bagi itu,2
hebat,7
berani kesah jabat korup dan hukum mati baru jabat dan perintah top,7
bisa pak presiden dan mas wakil wah indonesia akan cepat makmur karena beliau beliau ini cerdas dan pintar,7
masih mudah didik mumpuniapa lagimadura siap dukung,7
bawak bawak adat bahhh lepas itu verguso,7
iyo mas gibran nguasai tema dan bagus pikir mudah mudah nanti kalau jadi bisa actualkan biar hormat oleh negara lain tidak banyak tkw karena negara nya sendiri sudah makmur dan banyak lapang kerja,7
kerenn anak muda panutann nih bisa tiru oleh generasi muda jangan hnya nakal,2
misi mas gibran sangat jelas,8
cawapres yang paling isi bobot mas gibran tenan sumpah mas gibran cah cilik tapi aos,7
gibran menang menang jangan lupa goreng murah pak sama,5
boleh kasih masuk untuk team acara debat ini baik hadir hanya capres dan cawapresnya saja dan moderator ruang itu saat calon nya jawab tanya ambil panelis dan calon lain guna earphone sehingga tidak dengar jawab keluar oleh calon satu sama lain punya pikir sendiri dan tdk singgung ucap calon lain lebih hikmat dan lebih natural tidak salon tersingung,7
biasa pak gibran,8
kerennn mas gibrannnn sat set waktu regenerasi semangat indonesia saling rangkul dan dukung,7
sih gibran keren nguasai bnget,7
gag taro akhir seru,7
yang muda yang ganteng sering sepele tapi dia bisa bukti dan joss mas gibran,2
tidak perlu kasihan tapi kami minta hak kami bagai warga negara,7
kang slepet,11
harus ada generasi muda nih tua terus lah muda ayo maju pantang mundur,2
naik ratio pajak,7
salah posisi harus nya jadi capres,7
dulatann bainal aqniyak minattaaffuf,7
maling teriak malingg,7
gibran,8
mas gibran kueren,7
biasa jawab trus mas gibra tunjuk anak mudah itu intelak anak aja lias mas lama ini banyak anak milenial selalu anggap dan gak bisa dlm politik,2
pak mahmud senior kabinet otak cerdas,7
tuh definisi teori selaras dengan praktek,7
tiap akhir seksi knp jatuh situ saja dan moderator laki lgsg instruksi apresiasi tepu keras utk akhir jawab bias bahwa jawab luar biasa,7
dukung dan untuk jadi presenter,7
komen sini dukung prabowo gibran semua,8
gibran,8
anak,2
sama kaya partner dulu cela gorong raksaksa untuk kurang banjir malah jadi rob kata trs dia pakai juga cara ituini dia dlu dukung ikn sekarang dukung hahahah calon pimpin mancla mencle,7
tuju ubah hanya amin maju trus sdh tulis hati tingal tunggu waktu,7
nyata lihat bisa debat planga plongo seperti orang baru bangun tidur jadi depan pimpin dan menang debat baik kita jangan melihan sing tapi kwalitasnya,7
untuk cawapres nya paling unggul prof mahfud untuk capres nya tetap pak anies baswedan,7
mantap,7
mulai lihat gak konsisten konyol cawapres ini bener persis capresnya pinter ngomong kosong,7
remehin anak muda,2
gemes bgt nnton debat tiga kmren rewatch lgi debat awalmasih kagum bgt cawapres prabowo gibran,7
saya kira pak anis itu beneren pintar eeeee nyata dia masih kalah ganjar saya dukung pak prabowo aja klw gin biar kagak ngaur,7
juaraaaaaaanyaaaa,7
kenapa slepet sih pak wkwkwk slebew sekali pak akwowkwowkwok,11
perhati para tki luar negeri kirim barang atau beli barang dari luar negeri bikin susah barang nya bongkar bongkar sama tugas bandara yang sita lah minta lah curi lah kita para tki dan tkw luar negeri kerja keras tinggal kan keluarga tahun tahun gilir pulang bandara bikin susah sama tugas bandara perhati itu kami para orang susah bukan maling atau curi jangan bikin susah sama tugas bandara yang curang,7
perhati para kuli bangun kerja gajih hari cuman ribu rokok bungkus ribu bensin motor liter ribu lah terus hasil bersih nya untuk keluarga berapa para tki menang,7
cuman janji pera oknum yang curang dan para koruptor masih rajalela rakyat susah makin susah,7
banyak janji banyak bohong,7
sayaa puas bgt sama jawab mas,7
kalo turut saya harus tegas lagi kenapa peluang untuk masyarakat masih nganggur belum ada peluang untuk bekerjadisitulah buat indonesia kurang majumasih terlalu banyak orang nganggur karna peluang usaha atau peluang kerja masih kurang efisien,7
cocok jadi capres jadi cawapres aja,7
itu pintar walaupun masih mudah tapi tahu luas minum susu sejak kecil itu sebab generasi muda indonesia harus jaga nutrisi tinggal bukti jika paslon ini pilih jadi pimpin sesuai dengan kata,7
paling bobot cuma gibran lain omong kosong,7
mas jadi pimpin kami,7
keren bnget pinter dan lantang bicaranyadukung,7
masih pantau netral lah masih liat sampai mana janji manis para paslon kumandang uuupppssss dari pada ribut ngomongin mending sedia lapang kerja bener buat mereka butuh kerja jgn ada embel koneksi atau harus syarat dgn skill dewa didik promax gaji masih bawah umr kasi rakyat miskin oleh perintah sendiri,7
mas gibran gooooo,7
diskusi koq pasang prabowo digituin yamas gibran mantap usaha jelas misi justru yng lain koq mngkritiki aja,7
mas gibran pada,8
bapak nya mas gibran,8
lucu wakil urut nya apa slepet beda jauh sma pak masih muda,11
capres urut bukan cara tata kerja bahasa nya nyindir,7
tidak jauh dari pak mudah dan insya lanjut,7
apa jawab apa nyambung,7
mbatin kapan ada yang bisa wakil anak muda jejer tinggi,2
bngt dukung aminkatanya cerdas bisa taat tata tertibdenger aja pas awal awal sibuk teriak amin amin amin,7
tooooppp,7
apasih slepet emang gada kata lain selain slepet apa yak wkwkw,11
mas gibral loh aku suka wkwkw,7
dengerin suara ftokopi,0
dan pak prabowo yess,7
sama host brosdcast keren,7
pak dalam sistem janji luar negeri yang mandek ini rupa buah skema yang tidak elegan pada prestasi capai orientasi program dalam objek janji evaluasi tidak sifat bangun lain masif pada koridor sistem janji sederhana pak lebih baik optimalisasi janji kerjasama luar negeri dapat bentuk pada sistem produksi padu dengan indikator kuat rupiah pada objek indikator sehingga tentu pada mobilisasi janji dapat langsung sesuai harap pak saya,7
pak gibran,8
kok malah nanya tips,7
capres cawapresnya kocak,7
hanya anak tni dan polri gratis kuliah knp bukan anak tani tidak mampu gratis,2
yang sangat mas gibran,8
paslon paling positif chemistry nya paslon,7
kok lucu bapak ini,7
moderator emang harus jutek,7
menang mas,5
adem ayem sesuai tema knpa clon prsden nya mlah serang luar tema,7
mas gibran bicara dgn tutup mata ada bayang bicara pak jokowi,7
sangat muda pikir sangat hebat applaus buat pak raka wajah ketika bicara mirip banget sama bapak negeri,7
uji sama dosen uji,7
gibran banget anjirr,7
buat bapak gibran,8
malah lebih greget lihat cawapres debat dari capresnyakarena sana ada mas,7
buka untuk capres dan cawapres periode ikut kerja luas jangan hanya depan lulus sarjana kasih ruang untuk lulus smasmk dan bawah semua warga indonesia beri sempat untuk diri sampai sarjana ketika kami ingin naik ekonomi keluarga jangan sulit dengan sistem yang hanya fokus pada lulus sarjana,7
